sim,method_2_lb,method_2_ub,method_3_lb,method_3_ub
92,-2.28204953822119,2.7055662176686,-2.61068690005665,2.57952003432229
93,-2.04800671745809,2.07372529543072,-2.55749426546296,2.55837084856181
94,-2.3879799543557,3.19377364222303,-2.57892165303021,2.53538720090833
95,-2.98743305941806,2.93220392819043,-2.64614119318265,2.58209959397165
96,-3.06004483548422,2.52804638810961,-2.507099154511,2.52044221887328
97,-2.72850631654301,2.81709482158071,-2.56214903062183,2.53744880267082
98,-1.82155307550319,2.88635287046545,-2.61923441958942,2.5300362516857
99,-3.28493584116527,2.80591069069521,-2.60026869385932,2.55696737572897
100,-2.60648866785621,2.67595891616569,-2.60389424250495,2.56904335335656
101,-2.55519587084421,2.23995822495468,-2.5519991704461,2.54897147227089
102,-2.34541354455079,2.34823521166378,-2.58188634608681,2.52813627695077
103,-2.33009515102953,2.27844054087275,-2.53064782916857,2.56045675632858
104,-2.20512114330937,2.1040568475322,-2.59592863829019,2.53744381992263
105,-3.06227008586328,2.55093708674099,-2.5212852166401,2.53845305350591
106,-2.16792592398457,2.62601099559543,-2.5751201553535,2.57174183896574
107,-2.3951500802922,2.17474691093447,-2.61210377546816,2.58138753212614
108,-2.48154585839868,1.91937152782112,-2.59710270935589,2.60230292588692
109,-2.662047410419,2.95064608765572,-2.54878993957494,2.50957146800108
110,-2.87717633205401,3.09508360513172,-2.59691162641926,2.55257785825452
111,-2.3508255365778,2.07235212102772,-2.60183411956375,2.56278234514401
112,-2.40931965217192,2.08361711341175,-2.57054689099123,2.55145105561487
113,-2.83320157194853,2.34699830173957,-2.61873251408796,2.52083650480814
114,-1.95508864679238,2.47891451571193,-2.54137256026948,2.56125384621282
115,-2.09439283993834,2.57428577408258,-2.55501717118421,2.5612138958714
116,-2.38682007581582,2.65349333121663,-2.61659674138034,2.61229495458079
117,-2.35924433496801,2.23070333850489,-2.58531471251077,2.53646401193006
118,-2.4219403953716,2.57200778265529,-2.59561591426265,2.53878056681131
119,-2.56874549568859,2.33703898388168,-2.54477061511073,2.62635111886126
120,-2.76875242946512,2.71038225337653,-2.61682962047728,2.57127077003104
121,-2.01813964874083,2.26545738753717,-2.57327013902777,2.53785132171388
122,-2.55835055188215,2.6801906850221,-2.55218720567722,2.60853119810864
123,-2.53622745934999,2.66207900460779,-2.59193142935927,2.57715510458013
124,-2.55628240111989,1.98332793972743,-2.57999283112007,2.56746905923297
125,-2.68412794912931,2.1113808465011,-2.57523391074584,2.56441671685293
126,-2.09824457197744,2.28963246225827,-2.5575465705918,2.54924186796455
127,-2.1020673135324,2.65064643625279,-2.52001117975897,2.55798856556617
128,-2.60883435024562,2.68642087352774,-2.66261876885468,2.55935767509119
129,-2.7588880237811,2.08955776247013,-2.56805561998471,2.54793777530417
130,-3.03011143587233,2.33847247492215,-2.52694310634124,2.54674760688658
131,-2.33546184326119,2.67931858201476,-2.6202168149734,2.55995729719054
132,-3.09862666105979,3.09876417478572,-2.55786911746893,2.55368143345947
133,-2.94675501858384,2.7506583277034,-2.61699975694133,2.55995766290829
134,-2.4944105999665,2.70021670922351,-2.54575804255774,2.56371092027271
135,-3.36367624848634,2.86585221180033,-2.60685828787647,2.55008956960359
136,-2.35821594543581,2.02149756199628,-2.57281426173137,2.57612897230266
137,-2.58180695993236,2.41211330441131,-2.60569855180896,2.54259022806536
138,-2.50800628969088,2.84082331882384,-2.55132186562477,2.58593981220137
139,-2.36736172428517,2.63471178009158,-2.60127642653067,2.56461352978412
140,-2.50814117818234,2.22561091478781,-2.54361478540274,2.58333134898894
141,-2.70338332012898,2.55984470690251,-2.58377899693913,2.55783180405893
142,-2.99215034951348,2.71200162280611,-2.60403918819981,2.61217221304408
143,-2.55688475646845,2.35154391839038,-2.59322340650689,2.58756052980235
144,-2.84030043325182,2.48210024944493,-2.55358777285135,2.58650243654393
145,-2.9274313390485,2.50464980234469,-2.50006876778586,2.55778851508274
146,-2.56754559224845,2.64265413747143,-2.64145139008899,2.54364410308367
147,-2.18115502526337,2.05390990101825,-2.55904192870501,2.57659614393263
148,-2.57887257404608,2.42969848251765,-2.65666909526701,2.57097178794049
149,-2.77119416215898,2.36188178552111,-2.58343684581557,2.61192123051319
150,-2.66511459343529,1.72386062804085,-2.55916299818669,2.52346128704882
151,-2.55092789719053,2.63721308319754,-2.60732892216326,2.59189176766779
152,-2.63506507487102,2.16529539956854,-2.65441099266494,2.54162048513364
153,-2.74923005923133,2.68816128315574,-2.61835264699964,2.53449647763762
154,-1.9534619809249,2.55018481332466,-2.59460697390006,2.54059001420135
155,-3.28866380643502,2.57856274997606,-2.58401511309178,2.57450424001402
156,-2.78250738132991,2.14464251223344,-2.58747601516099,2.56947997624123
157,-2.45861538019949,2.62487112584384,-2.55314435243658,2.52158119789148
158,-3.24512309943205,2.73379303333507,-2.6262624794736,2.57604924746268
159,-2.80219362240657,2.5918674286192,-2.56776031119333,2.56887509670991
160,-2.42476181534224,2.14011417394968,-2.55973247452721,2.57203245216277
161,-2.08213926333005,2.12946781415824,-2.53275277128207,2.60718094969409
162,-2.49522171704862,2.497575382818,-2.58252774251637,2.59107651373533
163,-2.34852043270661,1.96106017880805,-2.52853748431363,2.56578706934973
164,-1.85643939299927,2.56981139387419,-2.55811723762267,2.56951009880216
165,-1.89655580317807,2.61049873864449,-2.5468183785233,2.57735799829725
166,-2.67778130737194,2.86487186758961,-2.556197122857,2.57883058857351
167,-1.90212595997116,2.13064959994357,-2.60484725417441,2.59830578840593
168,-3.04696668539579,2.80654389595872,-2.5317681995866,2.60952004024787
169,-2.1037777329511,2.38494841933839,-2.56728917955759,2.60536734007992
170,-2.46063113709946,2.29514628072483,-2.61263218731338,2.6027774149598
171,-2.04791493288322,2.7804555563142,-2.58639176695418,2.54809300180333
172,-2.85973547553744,2.18585434110188,-2.54075996240623,2.55739741607801
173,-2.38514516623437,2.6163394533084,-2.55808718205171,2.61749601052588
174,-2.57139427269665,2.04003515967307,-2.62263660149675,2.5964303843027
175,-3.01074617130931,2.36525400618041,-2.52686271011904,2.54678515685893
176,-3.13369957930741,3.15241658372212,-2.61653699931225,2.56860502319167
177,-2.42511495702745,2.56495376550008,-2.54435542529533,2.54748239538788
178,-1.93823074439517,2.47019321852002,-2.55727839938559,2.55757214105824
179,-3.09845102349156,2.14771835470059,-2.53660103193301,2.54338011580889
180,-2.91554228412036,2.76453654147741,-2.5873414282863,2.49662202716761
181,-2.63115583903773,2.45176307040294,-2.56733395608819,2.53832498865773
182,-2.52125803756471,2.7012284416791,-2.57293960613468,2.60660478369386
183,-2.87568210529153,3.07340647490326,-2.58234326885189,2.54725498425942
184,-2.63397815184215,2.49674936237773,-2.64548605461032,2.55288759631286
185,-2.47240777359448,2.82178774761017,-2.55613514713318,2.54975666051199
186,-2.87875111674025,2.92260143822578,-2.55554208847607,2.59765588484623
187,-3.06897228029393,2.68851874491743,-2.59432332046617,2.53088278779199
188,-2.53131412452733,2.00360355250845,-2.58308921045813,2.61970599322703
189,-2.60565666567251,2.4209107117077,-2.59983771459885,2.53590946935239
190,-2.76671225807092,2.44045548719295,-2.53909136677385,2.52894892794877
191,-3.01349862475285,2.83565250021687,-2.47039230916014,2.53279166363219
192,-2.64901510752555,2.8839555003327,-2.611744360076,2.59135005287554
193,-2.32092596918026,2.02648614386394,-2.60371226626708,2.5518367630993
194,-1.88967789193599,2.64921276280636,-2.55266461961189,2.57247277502937
195,-2.35281305561541,2.57805255933492,-2.59724340949457,2.58174473435736
196,-2.52067255632551,2.32711413418135,-2.57807962667076,2.56386792568556
197,-2.80444571912841,2.2327783611086,-2.57945326786184,2.59156324035703
198,-2.02347464744789,2.4686496480848,-2.54181263889475,2.50060255742769
199,-2.36407057690229,2.2976607965318,-2.64897282742935,2.57739690920921
200,-2.98480457559908,2.70992668803688,-2.5509595548286,2.53500254206783
201,-1.91607990504895,2.5245526712924,-2.60470106491675,2.57104028765735
202,-2.48452581079121,2.54585495042242,-2.60215608857631,2.59401915966207
203,-2.05878277719851,2.54901684761811,-2.54514087831752,2.54002241106696
204,-2.49637830298819,2.00978789973817,-2.56550750863313,2.5600616027065
205,-3.351559117798,3.25770700787691,-2.63303478509496,2.574472213704
206,-2.96758923515902,2.69344851562937,-2.5731904852963,2.55122916904233
207,-2.67654765745779,2.10386476427785,-2.56931255573622,2.55580473780099
208,-2.75564461466383,3.14922006187807,-2.58308855652546,2.56012029124715
209,-2.99756727420071,2.68191038310592,-2.6146020221003,2.51825593680969
210,-3.33112519841642,2.7177490152632,-2.59368424011102,2.56910200287437
211,-2.44334433839938,2.32544437629863,-2.57941825899717,2.55546269675731
212,-2.5824602710933,2.4436336438599,-2.6497197900599,2.54049513912971
213,-1.9660190625609,2.32454911397791,-2.62207922523807,2.57886279686328
214,-2.62841045743677,2.38826556415577,-2.6072973430205,2.61044577933067
215,-1.94408933083308,2.16000766464527,-2.59672737972772,2.56793084325343
216,-2.38941106386894,2.71863606707909,-2.58001613261097,2.57982387657672
217,-2.55726594095151,2.44775055168767,-2.63702895016433,2.54712574078075
218,-2.79817317907336,2.72582443798607,-2.59124158755071,2.6111773616923
219,-3.04577660461605,2.53701391061539,-2.49693593740621,2.55517983415772
220,-2.42734392840453,2.30647372741786,-2.57153076541504,2.57965889660498
221,-3.24577155972747,2.57155431523951,-2.59803801115016,2.57980508160719
222,-1.91590392734114,2.25282495941108,-2.59265365376175,2.57500958375705
223,-2.24473105662082,2.33156603349058,-2.59821858193531,2.5495248396059
224,-3.1006158153374,2.95229179603716,-2.60166444904038,2.57986167118788
225,-2.57973164537791,2.47880163670693,-2.56491158684132,2.54912315433735
226,-2.54538850519564,2.64979524495759,-2.54887879319664,2.59863469313558
227,-2.58690823968671,2.37455119440093,-2.59928054405158,2.56884061113227
228,-2.45249845447096,2.1735605293901,-2.59455681803869,2.51387373651649
229,-2.70446116882757,2.41716611573379,-2.6125240611015,2.52920822544507
230,-2.29638718743595,2.34425629963418,-2.621068228066,2.5596304506548
231,-2.77280914409754,2.4376337784329,-2.57093919531653,2.59748232590293
232,-2.9450640782532,2.75940981094334,-2.60480202169914,2.57324816138278
233,-2.11042688262392,2.67217912083529,-2.57853058456799,2.50690519007557
234,-2.01715490441361,2.54943484839435,-2.57238921273943,2.57055394723419
235,-2.49262718805211,2.7276524046751,-2.60693257764224,2.59641700165447
236,-2.20234678235754,3.36272148745621,-2.58676155367769,2.56002689115774
237,-2.77961230630063,2.26918362487805,-2.56060916373253,2.55623515754765
238,-2.64779772074657,2.27002475557794,-2.58812652228317,2.52481169356208
239,-2.32730646702508,2.2628920765203,-2.59892471550505,2.55357670537484
240,-2.54109125350082,2.70560411499438,-2.52885194694433,2.6051896876765
241,-2.05761703423796,2.29428844797342,-2.55794104794391,2.53450878190357
242,-2.87608172387136,2.5770645260848,-2.5581710313611,2.60548680977206
243,-2.89409925343794,2.42975104221046,-2.61083989500121,2.55090307611505
244,-2.53131655340069,2.10476490868398,-2.65403623727672,2.55957854282
245,-2.44059852741766,2.80076985657349,-2.57746970191888,2.53439526165716
246,-2.43322843488969,2.44535399528129,-2.64754207472819,2.59563665369924
247,-2.13174632796572,1.89050230823924,-2.4986156106541,2.52057107178707
248,-2.00916113004959,2.60588802539617,-2.6018225742175,2.53792270493772
249,-2.10832957419043,1.91744738441428,-2.64349483082309,2.62544385560631
250,-2.83590265114748,2.58221610693976,-2.58495331035124,2.60061813340624
251,-2.61885683189902,2.42753371020858,-2.60761027098394,2.58772575273679
252,-2.56337005402848,2.56428463082829,-2.55020535992865,2.57865791372674
253,-2.46297726857902,2.63250809180557,-2.5636118297896,2.57336667904895
254,-2.50882969325932,2.70809413365539,-2.54309054485025,2.57103002038232
255,-1.85270808505242,2.36286446115425,-2.617872750737,2.59288926935789
256,-2.24272766585992,2.22119902838375,-2.63243971604662,2.55618473199409
257,-2.49247458544397,3.01607185828167,-2.6002887187419,2.55275493418375
258,-2.82289305798363,2.51747125189833,-2.55922784928703,2.55004964932644
259,-2.33048971297784,2.3444760251309,-2.63069582495733,2.60801569124886
260,-3.23817171613622,2.91862513830181,-2.55995339919437,2.52352925593452
261,-2.63054929645961,2.14281947102515,-2.58139006025957,2.51257261637356
262,-2.48810786608032,2.47404899338971,-2.64499471034574,2.5514764201943
263,-2.41212682818143,2.38061993907591,-2.54766155910354,2.52615599445096
264,-2.79231431493781,3.11667789201974,-2.63389443362319,2.53803505018141
265,-2.54866773537276,2.88572162188497,-2.59901414298119,2.58358999861346
266,-2.75403650535543,2.45664946606057,-2.60729442749327,2.6187675621883
267,-2.63938088324609,2.77550489692425,-2.56602079887318,2.52865352984611
268,-1.67658716753162,2.69980617333797,-2.52402622130494,2.54366075643924
269,-2.01146646609231,2.44809137708893,-2.52259030940829,2.55924293336742
270,-2.57553764956379,2.21319842147451,-2.54121694653755,2.52193254036834
271,-2.75287397150352,2.54754225233524,-2.6172783853371,2.61778726222264
272,-2.35649578085944,2.37354761529935,-2.55984900479363,2.58306113863088
273,-2.8445895527934,2.39733832057383,-2.6076678548262,2.59678425061715
274,-3.58543315726946,2.63980813493712,-2.54492242547123,2.53185398859274
275,-2.47471874538823,2.49059812935931,-2.63046511398131,2.56640512672424
276,-2.60443228846876,1.83680284353476,-2.53446383576428,2.60179370796395
277,-2.91220267383106,2.49770602137561,-2.5805097876558,2.58551336845985
278,-3.22402025727685,2.7943605518433,-2.65734665043779,2.59278705684492
279,-2.16015077342996,2.11544658144327,-2.57287390066265,2.58065208093951
280,-2.20940112899326,2.35048875131837,-2.60964258790952,2.60033693124361
281,-2.49637001567461,2.85912169336051,-2.55998093133527,2.49333910827879
282,-2.10575601844202,2.21700965789568,-2.53232428810941,2.60108780972768
283,-3.05193678392306,2.39209893079897,-2.56163906829956,2.58116632009626
284,-2.19679843809241,2.9389632221755,-2.57492385762376,2.52415791090313
285,-2.50949896139852,2.84467803268515,-2.63844363113739,2.58136505281411
286,-2.20558529428651,2.08330094895845,-2.56440919806592,2.58127481605291
287,-2.36649443154478,2.53117000957026,-2.5682153326943,2.60039797613729
288,-2.56492853901166,2.71004825055675,-2.6197748589735,2.58783107378058
289,-2.44894864088616,2.79067165170579,-2.61665717966791,2.55810783319852
290,-2.86769552289684,2.41005051206886,-2.58128571845616,2.51914007126874
291,-2.27663742384038,2.5882772422717,-2.60329109032905,2.56651556801386
292,-2.75104394250888,2.81154374280895,-2.52431212021672,2.58074185076124
293,-2.06806208617744,2.4052610342777,-2.56489569876622,2.48873235528284
294,-2.42597741746365,2.37911328281291,-2.60324989943364,2.53036828496712
295,-1.619974543699,2.54686304817753,-2.56030731759029,2.56056457590452
296,-2.38491755335771,2.48679287806584,-2.63870504516499,2.61597522445507
297,-2.38081123487235,2.64091893054676,-2.5652255363043,2.61385940199218
298,-2.99869300781252,2.0799286447512,-2.59303755963198,2.55234348290202
299,-2.27874588705731,2.02310597971856,-2.53031091836948,2.56427997211926
300,-2.57294797877118,2.624884864037,-2.6109381796747,2.57209341394625
301,-3.03857805024974,2.82596393425979,-2.55781556768396,2.54603462595687
302,-2.31552175957919,2.29313324389489,-2.60466500000086,2.58402865554727
303,-1.65371799844388,2.19696865968639,-2.53480617592632,2.51512490889575
304,-2.77275949247928,2.98119936106271,-2.62656247142825,2.58654607469352
305,-2.52815122802905,2.2389467554901,-2.61547878789208,2.55435032332871
306,-2.10881384063818,2.13589762777142,-2.56561396537573,2.56245970290649
307,-2.28981863488603,2.48442096089834,-2.58945891068611,2.55174351897489
308,-2.2002026517648,2.86958505495513,-2.59384685591652,2.56192709204144
309,-2.34667519643182,1.90825933899126,-2.5470860755323,2.54809101648608
