k,n_j,sigma_sq,coverage,avg_length
395,20,100,0.906,35.1448867872386
400,20,100,0.905,35.1816962570389
405,20,100,0.918,35.7277889982946
410,20,100,0.902,35.4513983085031
415,20,100,0.928,35.7278197633702
420,20,100,0.899,34.9564067466
425,20,100,0.899,35.0091699768133
430,20,100,0.9,35.0663674089176
435,20,100,0.916,35.7521982168194
440,20,100,0.888,35.1500615252726
445,20,100,0.896,35.5188891835696
450,20,100,0.908,35.8003848308477
455,20,100,0.915,35.6087607466741
460,20,100,0.901,35.5445961326984
465,20,100,0.909,35.3648370058231
470,20,100,0.9,35.2431795164864
475,20,100,0.914,35.5130262632931
480,20,100,0.912,35.3655738569426
485,20,100,0.902,35.6756263330338
490,20,100,0.914,35.4704581659313
495,20,100,0.908,35.154378863136
500,20,100,0.893,35.6893132234143
505,20,100,0.905,35.3613261245247
510,20,100,0.902,35.3951174564835
515,20,100,0.91,35.3429847372502
520,20,100,0.917,35.2775413240265
525,20,100,0.907,35.492560297791
530,20,100,0.9,35.2414712671782
535,20,100,0.889,35.621848030786
540,20,100,0.898,35.3921550760749
545,20,100,0.885,35.6127461121608
550,20,100,0.909,35.778159952443
555,20,100,0.916,35.2735598254697
560,20,100,0.907,35.2166183531825
565,20,100,0.912,35.2246914698863
570,20,100,0.898,35.2322178215856
575,20,100,0.9,35.4467957508549
580,20,100,0.906,35.1007888182247
585,20,100,0.904,35.2468132044567
590,20,100,0.905,35.2462031942334
595,20,100,0.909,35.2407318665913
600,20,100,0.908,35.3300083100996
605,20,100,0.889,35.6286935160386
610,20,100,0.899,35.1324336460446
615,20,100,0.895,35.2895946345889
620,20,100,0.909,35.4153732188988
625,20,100,0.899,35.9168251408798
630,20,100,0.906,34.9684284978457
635,20,100,0.908,35.378560660417
640,20,100,0.909,35.2177020094087
645,20,100,0.914,35.1397206875909
650,20,100,0.905,35.3838802761971
655,20,100,0.9,35.1461385011958
660,20,100,0.906,35.5019402340032
665,20,100,0.911,35.3687578664443
670,20,100,0.9,35.1595776053666
675,20,100,0.909,35.4230447571749
680,20,100,0.882,35.1825673500891
685,20,100,0.904,35.0860379655989
690,20,100,0.91,35.1484647784018
695,20,100,0.904,35.2820158251392
700,20,100,0.891,35.5949577478352
705,20,100,0.919,35.8864859116553
710,20,100,0.888,35.2503415874448
715,20,100,0.898,35.5340062840397
720,20,100,0.892,35.1838739819218
725,20,100,0.895,35.4291119806392
730,20,100,0.901,35.2871574894296
735,20,100,0.895,35.4536466178004
740,20,100,0.893,35.5999615595976
745,20,100,0.905,35.3049068677429
750,20,100,0.911,35.5327741668218
755,20,100,0.9,35.654092763122
760,20,100,0.903,35.3010429622496
765,20,100,0.908,35.2140777723419
770,20,100,0.91,35.1212472916543
775,20,100,0.907,35.6148309655825
780,20,100,0.899,35.5382543853524
785,20,100,0.909,35.4265647946798
790,20,100,0.907,35.493304952397
795,20,100,0.902,35.3443363456142
800,20,100,0.926,35.6469664513095
805,20,100,0.91,35.4395443392888
810,20,100,0.895,35.3090572106629
815,20,100,0.902,35.1007393499327
820,20,100,0.897,35.0867758608605
825,20,100,0.917,35.1853706307649
830,20,100,0.908,35.6569838652621
835,20,100,0.912,35.7086368556186
840,20,100,0.884,35.2066275525726
845,20,100,0.895,35.4294559868501
850,20,100,0.909,35.3195966180431
855,20,100,0.908,35.2585999557948
860,20,100,0.909,35.6385642103679
865,20,100,0.9,34.8999099189222
870,20,100,0.91,35.4563769050331
875,20,100,0.904,35.6212700405403
880,20,100,0.893,35.5149136565309
885,20,100,0.885,35.35529211749
890,20,100,0.9,35.5939594125389
895,20,100,0.911,35.6415205250305
900,20,100,0.909,35.274754515563
905,20,100,0.897,35.6641610093547
910,20,100,0.918,35.203025128369
915,20,100,0.887,35.5665324354811
920,20,100,0.914,35.6872349373849
925,20,100,0.904,35.1622276814931
930,20,100,0.907,35.4839175105039
935,20,100,0.909,35.4938198598815
940,20,100,0.911,35.6086045891507
945,20,100,0.906,35.323273691539
950,20,100,0.911,35.3350325171436
955,20,100,0.904,35.2799179457132
960,20,100,0.891,35.3958852622396
965,20,100,0.917,35.0258511989954
970,20,100,0.922,35.4525117661681
975,20,100,0.908,35.6429640884922
980,20,100,0.919,35.4208830277699
985,20,100,0.905,35.4970178327285
990,20,100,0.915,35.385752955422
995,20,100,0.917,35.6828021827391
1000,20,100,0.913,35.2275964979692
